RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306|051353|04752/05||MØYSALEN'S KONRAD|10973/99|17368/01|1180416|HVIT/ORANGE|||A|||H|3618942||12.02.2007|23.03.2005|
306|001274|04750/00||STILLERUD'S REBEL|FIN40258/98|44914/94|1180351|HVIT/ORANGE|||||M|H|3500140|jo|16.05.2000|29.03.2000|
306|051353|04753/05||MØYSALEN'S SPEEDY|10973/99|17368/01|1180446|HVIT/ORANGE|||A||M|H|3485608||16.10.2006|23.03.2005|
306|001274|04755/00||STILLERUD'S RINIC|FIN40258/98|44914/94|1180501|HVIT/ORANGE|||||M|T|3500144|jo|16.05.2000|29.03.2000|
306|051353|04756/05||MØYSALEN'S RAPP|10973/99|17368/01|1180537|HVIT/ORANGE|||||M|H|3618945|bj|26.05.2005|23.03.2005|
306|414224|04757/75||TROYA|04360/73|&9439/72|1180571|HVIT OG BRUN||||||T|8165029||||
306|414224|04759/75||BANTO|04360/73|&9439/72|1180630|HVIT OG BRUN||||||H|3104103|#XU|21.03.1999||
306|001274|04754/00||STILLERUD'S RETU|FIN40258/98|44914/94|1180471|HVIT/ORANGE|||||M|H|3500143|jo|16.05.2000|29.03.2000|
306|414224|04756/75||RINGO|04360/73|&9439/72|1180541|HVIT OG BRUN||||||H|3307338||||
306|001274|04757/00||STILLERUD'S INKA|FIN40258/98|44914/94|1180562|HVIT/ORANGE|||A||M|T|3500146|ton|16.01.2002|29.03.2000|
306|051353|04755/05||MØYSALEN'S TAPPER|10973/99|17368/01|1180506|HVIT/ORANGE|||A||M|H|3618944||07.06.2007|23.03.2005|
306|051353|04758/05||MØYSALEN'S CIRA|10973/99|17368/01|1180597|HVIT/ORANGE|||||M|T|3618948||22.05.2006|23.03.2005|
306|051353|04759/05||MØYSALEN'S RAIJA|10973/99|17368/01|1180626|HVIT/ORANGE|||A||M|T|3754220|HKE|16.07.2008|23.03.2005|
306|428876|04033/79||JAKK|03431/76|15293/74|1158949|RØD/HVIT||||||H|8156979||||
306|428876|04032/79||KING|03431/76|15293/74|1158922|RØD/HVIT|||A|||H|8156968||||
306|429293|05944/79||TELL|09216/73|01837/75|1216609|HVIT OG BRUN|||A|||H|0171900|#XU|29.05.2005||
306|429293|05941/79||MAICO|09216/73|01837/75|1216520|HVIT OG BRUN||||||H|8178470||||
306|429293|05945/79||ROUCH|09216/73|01837/75|1216639|HVIT OG BRUN|||C|||H|8178510||||
306|429293|05943/79||REX|09216/73|01837/75|1216579|BRUN OG HVIT|||A|||H|3217763||||
306|429293|05946/79||FRØYA|09216/73|01837/75|1216670|HVIT OG BRUN|||E|||T|8178522||||
306|429293|05940/79||JETH|09216/73|01837/75|1216491|HVIT OG BRUN|||C|||H|3269661||||
306|021446|05965/02||ALBIN|05900/98|06815/95|1217218|HVIT/ORANGE||||||H|3543724|bk|26.04.2002|09.04.2002|
306|981264|05965/98||NORDTANGEN'S BUSTER|S44063/88|20537/93|1217243|TRICOLOR||||||H|3286743|bk|20.04.1998|20.04.1998|
306|981264|05966/98||NORDTANGEN'S SISS|S44063/88|20537/93|1217272|TRICOLOR||||||T|1466705|bk|20.04.1998|20.04.1998|
306|021446|05968/02||ZETA JONES|05900/98|06815/95|1217307|HVIT/ORANGE||||||T|3559506|bk|17.12.2002|09.04.2002|
306|021446|05969/02||FAUNA|05900/98|06815/95|1217337|HVIT/ORANGE|||||M|T|3560968|bk|06.07.2004|09.04.2002|
306|429293|05942/79||PAN|09216/73|01837/75|1216549|BRUN OG HVIT||||||H|3207829||||
306|021446|05966/02||ROSSO|05900/98|06815/95|1217247|HVIT/ORANGE||||||H|3543725|bk|26.04.2002|09.04.2002|
306|981264|05967/98||NORDTANGEN'S CINDY|S44063/88|20537/93|1217303|TRICOLOR|||D||X|T|3708627|ton|20.08.1999|20.04.1998|
306|981264|05968/98||NORDTANGEN'S AKITA|S44063/88|20537/93|1217333|HVIT/BRUN|||D||X|T|3238492|ton|26.02.1999|20.04.1998|
306|021446|05967/02||TICO|05900/98|06815/95|1217276|HVIT/ORANGE|||D||M|H|3543728|ton|03.07.2003|09.04.2002|
306|981264|05969/98||NORDTANGEN'S TUSSI|S44063/88|20537/93|1217364|TRICOLOR|||A||M|T|3451914|ton|26.02.1999|20.04.1998|
